Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Wed Dec 18 01:01:29 2019
Invocation: foremost -w /dev/sda7 
Output directory: /home/dimob/Bureau/Linux-reinstall/Graph/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: /dev/sda7
Start: Wed Dec 18 01:01:29 2019
Length: 132 GB (142000259072 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	    277392.png 	      731 B 	  142024786 	  (32 x 32)
1:	    277400.png 	      147 B 	  142028883 	  (4 x 4)
2:	    277408.png 	      127 B 	  142032975 	  (4 x 4)
3:	    277416.png 	      114 B 	  142037070 	  (4 x 4)
4:	    277424.png 	      150 B 	  142041174 	  (4 x 4)
5:	    277432.png 	      115 B 	  142045265 	  (4 x 4)
6:	    277440.png 	       1 KB 	  142049361 	  (32 x 32)
7:	    277448.png 	      147 B 	  142053461 	  (4 x 4)
8:	    277456.png 	      101 B 	  142057553 	  (4 x 4)
9:	    277464.png 	      129 B 	  142061648 	  (4 x 4)
10:	    277472.png 	      143 B 	  142065746 	  (4 x 4)
11:	    277480.png 	      944 B 	  142069842 	  (32 x 32)
12:	    277488.png 	       91 B 	  142073959 	  (5 x 13)
13:	    277496.png 	      225 B 	  142078038 	  (7 x 7)
14:	    277504.png 	      181 B 	  142082133 	  (5 x 5)
15:	    277512.png 	       90 B 	  142086223 	  (1 x 24)
16:	    277520.png 	      319 B 	  142090341 	  (198 x 5)
17:	    277528.png 	      717 B 	  142094421 	  (22 x 22)
18:	    277536.png 	      110 B 	  142098521 	  (2 x 150)
19:	    277544.png 	       94 B 	  142102633 	  (13 x 5)
20:	    277552.png 	      102 B 	  142106721 	  (5 x 5)
21:	    277560.png 	      667 B 	  142110808 	  (9 x 150)
22:	    277568.png 	      284 B 	  142114911 	  (16 x 16)
23:	    277576.png 	      689 B 	  142118999 	  (1366 x 9)
24:	    277584.png 	       91 B 	  142123110 	  (5 x 13)
25:	    277592.png 	      104 B 	  142127199 	  (5 x 5)
26:	    277600.png 	       1 KB 	  142131276 	  (22 x 22)
27:	    277608.png 	      118 B 	  142135382 	  (3 x 3)
28:	    277616.png 	      117 B 	  142139475 	  (3 x 3)
29:	    277624.png 	       89 B 	  142143565 	  (5 x 1)
30:	    277632.png 	      175 B 	  142147668 	  (3 x 93)
31:	    277640.png 	       91 B 	  142151780 	  (5 x 13)
32:	    277648.png 	      196 B 	  142155857 	  (3 x 94)
33:	    277656.png 	      106 B 	  142159969 	  (1 x 4)
34:	    277664.png 	      740 B 	  142164067 	  (1324 x 5)
35:	    277672.png 	      128 B 	  142168158 	  (80 x 12)
36:	    277680.png 	      203 B 	  142172246 	  (7 x 7)
37:	    277688.png 	       96 B 	  142176334 	  (269 x 1)
38:	    277696.png 	      176 B 	  142180428 	  (22 x 22)
39:	    277704.png 	      119 B 	  142184535 	  (3 x 3)
40:	    277712.png 	       94 B 	  142188648 	  (13 x 5)
41:	    277720.png 	       1 KB 	  142192730 	  (1366 x 9)
42:	    277728.png 	      112 B 	  142196826 	  (10 x 9)
43:	    277736.png 	      764 B 	  142200929 	  (5 x 698)
44:	    277744.png 	      253 B 	  142205016 	  (108 x 93)
45:	    277752.png 	      146 B 	  142209107 	  (94 x 3)
46:	    277760.png 	       90 B 	  142213198 	  (2 x 24)
